case_id,window_id,dataset,recording_id,num_speakers,noise_level,base_noise,seed,method,wder,cpwer,speaker_count_mae,segment_error_rate,changed_from_noisy_rate,n_eval_segments,n_words,parse_ok,parse_error,invalid_speaker_count,model,prompt_tokens,completion_tokens
871e634a7bb5c3f8,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,101,noisy_labels,0.36496350364963503,0.6715328467153284,1,0.4,0.0,10,137,True,,0,,0,0
871e634a7bb5c3f8,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,101,continuity_smoothing,0.3722627737226277,0.6715328467153284,1,0.4,0.2,10,137,True,,0,,0,0
871e634a7bb5c3f8,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,101,llm_no_profile,0.36496350364963503,0.6715328467153284,1,0.4,0.0,10,137,True,,0,gpt-4.1-mini,1034,320
871e634a7bb5c3f8,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,101,llm_profile,0.36496350364963503,0.6715328467153284,1,0.4,0.0,10,137,True,,0,gpt-4.1-mini,1106,320
913119234f8e2947,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,202,noisy_labels,0.4233576642335766,0.5328467153284672,0,0.3,0.0,10,137,True,,0,,0,0
913119234f8e2947,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,202,continuity_smoothing,0.5766423357664233,0.7299270072992701,0,0.4,0.4,10,137,True,,0,,0,0
913119234f8e2947,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,202,llm_no_profile,0.4233576642335766,0.5328467153284672,0,0.3,0.0,10,137,True,,0,gpt-4.1-mini,1034,320
913119234f8e2947,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,low,0.1,202,llm_profile,0.4233576642335766,0.5328467153284672,0,0.3,0.0,10,137,True,,0,gpt-4.1-mini,1106,320
2faefef40c830a5c,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,medium,0.25,101,noisy_labels,0.5766423357664233,0.6496350364963503,0,0.6,0.0,10,137,True,,0,,0,0
2faefef40c830a5c,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,medium,0.25,101,continuity_smoothing,0.583941605839416,0.656934306569343,0,0.6,0.2,10,137,True,,0,,0,0
2faefef40c830a5c,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,medium,0.25,101,llm_no_profile,0.5766423357664233,0.6496350364963503,0,0.6,0.0,10,137,True,,0,gpt-4.1-mini,1034,320
2faefef40c830a5c,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,medium,0.25,101,llm_profile,0.5766423357664233,0.6496350364963503,0,0.6,0.0,10,137,True,,0,gpt-4.1-mini,1106,320
f08dfaf5eaf2de1f,ami_sdm_EN2002b.Array1-01,ami_sdm,EN2002b.Array1-01,4,medium,0.25,202,noisy_labels,0.41605839416058393,0.29927007299270075,0,0.4,0.0,10,137,True,,0,,0,0
